term_or_phrase,common_abbreviation,type,chinese,category,scenario,definition_en,definition_cn,example_sentence,translation,difficulty,source_section,knowledge_source,standard_classification,business_domain,term_frequency_level,business_scenario
income taxes,,phrase,所得税,Income tax,IAS 12/HKAS 12所得税会计,"income taxes is a professional expression used in income tax accounting, including current tax, deferred tax or temporary differences.",所得税，是所得税会计中的专业表达，通常涉及当期所得税、递延所得税或暂时性差异。,This increase does not affect the amounts of current or deferred income taxes recognised at 31 December 2026.,该增加不影响于2026年12月31日确认的当期或递延所得税金额。,basic,Illust_FS(12.25).txt: line 2057 | example: Model Accounts.txt: line 3077 | example: isg-2026-ifs.txt: line 2499,Model financial statements / annual report,IAS 12,Income taxes,5 - Very high / core,Financial reporting
tax base,,phrase,计税基础,Income tax,递延所得税计算 | deferred tax calculation | IAS 12,"tax base is a professional expression used in income tax accounting, including current tax, deferred tax or temporary differences.",计税基础，是所得税会计中的专业表达，通常涉及当期所得税、递延所得税或暂时性差异。,Treasury teams monitor tax base as part of financial risk reporting.,资金部门将计税基础作为财务风险报告的一部分进行监测。,intermediate,Illust_FS(12.25).txt: line 9461 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 385; IAS 12 | IFRS专业词汇.xlsx/Sheet1 row 276 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 12457 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 11816,IFRS/HKFRS standards term library,IAS 12,Income taxes,5 - Very high / core,Financial reporting
Temporary difference,,phrase,暂时性差异,税项,账面基础与计税基础差异 | deferred tax calculation | 税项 | IAS 12,A difference between the carrying amount of an asset or liability and its tax base.,暂时性差异，是指资产或负债的账面金额与其计税基础之间的差额。,Controllers check whether Temporary difference has been applied consistently.,主计长检查暂时性差异是否得到一贯应用。,intermediate,Illust_FS(12.25).txt: line 3649 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 386; IAS 12 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 11871 | example: isg-2026-ifs.txt: line 2824 | example: isg-2026-ifs.txt: line 7496 | IFRS专业词汇.xlsx/Sheet1 row 134 | IFRS专业词汇.xlsx/Sheet1 row 275 | example: isg-2026-ifs.txt: line 2696,IFRS professional vocabulary,IFRS 10,Consolidation,5 - Very high / core,Financial reporting
uncertain tax treatment,,phrase,不确定税务处理,Income tax,税务争议和不确定性判断 | IFRIC 23; tax provision | tax risk,uncertain tax treatment is a professional expression used in cash flow presentation or classification.,不确定税务处理，是现金流量列报或分类中的专业表达。,The cash flow analysis classifies uncertain tax treatments based on its substance.,现金流量分析根据其实质对不确定税务处理进行分类。,advanced,isg-2025-insights-an-overview.txt: line 1172 | example: isg-2025-insights-an-overview.txt: line 1216 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 394; IAS 12 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 585; IFRIC 23 | example: isg-2026-ifs.txt: line 2851 | example: isg-2026-ifs.txt: line 2847,IFRS technical guidance,IAS 7,Cash flows,4 - High,Law
deductible temporary differences,,phrase,可抵扣暂时性差异,Income taxes,deferred tax assets,"deductible temporary differences is a professional expression used in income tax accounting, including current tax, deferred tax or temporary differences.",可抵扣暂时性差异，是所得税会计中的专业表达，通常涉及当期所得税、递延所得税或暂时性差异。,"Deferred tax assets are recognised for unused tax losses, unused tax credits and deductible temporary differences to the extent that it is probable that future taxable profits will be available against which they can be used.",对于未使用的税务亏损、未使用的税款抵免及可抵扣暂时性差异，在很可能获得未来应纳税利润用于抵扣的范围内确认递延所得税资产。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 388; IAS 12 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 22265 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 12056 | example: isg-2026-ifs.txt: line 7496,IFRS/HKFRS standards term library,IAS 12,Income taxes,5 - Very high / core,Financial reporting
probable future taxable profit,,phrase,很可能取得的未来应纳税利润,Income taxes,DTA recognition,"probable future taxable profit is a professional expression used in income tax accounting, including current tax, deferred tax or temporary differences.",很可能取得的未来应纳税利润，是所得税会计中的专业表达，通常涉及当期所得税、递延所得税或暂时性差异。,The IPO timetable includes procedures related to probable future taxable profit.,IPO时间表包括了与很可能取得的未来应纳税利润相关的程序。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 393; IAS 12,IFRS/HKFRS standards term library,IAS 12,Income taxes,3 - Medium,IPO
taxable temporary differences,,phrase,应纳税暂时性差异,Income taxes,deferred tax liabilities,"taxable temporary differences is a professional expression used in income tax accounting, including current tax, deferred tax or temporary differences.",应纳税暂时性差异，是所得税会计中的专业表达，通常涉及当期所得税、递延所得税或暂时性差异。,The prospectus describes taxable temporary differences for potential investors.,招股说明书向潜在投资者说明了应纳税暂时性差异。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 387; IAS 12 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 12504 | example: isg-2026-ifs.txt: line 7496,IFRS/HKFRS standards term library,IAS 12,Income taxes,5 - Very high / core,IPO
unused tax credits,,phrase,未使用税项抵免,Income taxes,DTA recognition,"unused tax credits is a professional expression used in income tax accounting, including current tax, deferred tax or temporary differences.",未使用税项抵免，是所得税会计中的专业表达，通常涉及当期所得税、递延所得税或暂时性差异。,Disclosures explain why unused tax credits matters to users of the accounts.,披露内容说明了未使用的税款抵免为何对财务报表使用者具有重要意义。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 392; IAS 12 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 12624 | example: Illust_FS(12.25).txt: line 3665,IFRS/HKFRS standards term library,IAS 12,Income taxes,5 - Very high / core,Financial reporting
unused tax losses,,phrase,未使用税项亏损,Income taxes,DTA recognition,"unused tax losses is a professional expression used in income tax accounting, including current tax, deferred tax or temporary differences.",未使用税项亏损，是所得税会计中的专业表达，通常涉及当期所得税、递延所得税或暂时性差异。,Deferred tax assets are recognised for unused tax losses to the extent that it is probable that future taxable profits will be available against which the losses can be used.,对于未使用的税务亏损，在很可能获得可用于抵扣该等亏损的未来应纳税利润的范围内确认递延所得税资产。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 391; IAS 12 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 12162 | example: Illust_FS(12.25).txt: line 3665 | example: isg-2026-ifs.txt: line 2829,IFRS/HKFRS standards term library,IAS 12,Income taxes,5 - Very high / core,Financial reporting
deposit component,,phrase,存款组成部分,Insurance,unbundling,"deposit component is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",存款组成部分，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,The valuation report explains how deposit component was measured.,估值报告说明了存款组成部分的计量方式。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 90; IFRS 4,IFRS/HKFRS standards term library,IFRS 4,Fair value / Valuation,1 - Very low / niche,Valuation
discretionary participation feature,,phrase,酌情参与分红特征,Insurance,insurance/investment contracts,discretionary participation feature is a professional expression used in insurance contract accounting under IFRS 17.,酌情参与分红特征，是IFRS 17保险合同会计中的专业表达。,The annual close process requires review of discretionary participation feature.,年度关账流程要求复核酌情参与分红特征。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 91; IFRS 4 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 23814 | example: isg-2025-insights-an-overview.txt: line 2721,IFRS/HKFRS standards term library,IFRS 4,Insurance,5 - Very high / core,Financial reporting
insurance contract,,phrase,保险合同,Insurance,legacy insurance accounting | insurer financial statements,insurance contract is a professional expression used in insurance contract accounting under IFRS 17.,保险合同，是IFRS 17保险合同会计中的专业表达。,There is no concept of shadow accounting under the insurance contracts standard.,根据保险合同准则，不存在影子会计的概念。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 86; IFRS 4 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 292; IFRS 17 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 11354 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 31637 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 31375,IFRS/HKFRS standards term library,IFRS 4,Insurance,5 - Very high / core,Financial reporting
insurance risk,,phrase,保险风险,Insurance,contract classification,insurance risk is a professional expression used in insurance contract accounting under IFRS 17.,保险风险，是IFRS 17保险合同会计中的专业表达。,An insurance contract is a contract that transfers significant insurance risk.,保险合同是指转移重大保险风险的合同。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 89; IFRS 4 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 31122 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 31116 | example: isg-2025-insights-an-overview.txt: line 2714,IFRS/HKFRS standards term library,IFRS 4,Insurance,5 - Very high / core,Financial reporting
insurer,,term,保险人,Insurance,insurance company reporting,insurer is a professional expression used in insurance contract accounting under IFRS 17.,保险人，是IFRS 17保险合同会计中的专业表达。,Controllers check whether insurer has been applied consistently.,主计长检查保险人是否得到一贯应用。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 87; IFRS 4 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 31725 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 15998,IFRS/HKFRS standards term library,IFRS 4,Insurance,5 - Very high / core,Financial reporting
investment contract with discretionary participation features,,phrase,具有酌情参与分红特征的投资合同,Insurance,insurance groups,investment contract with discretionary participation features is a professional expression used in insurance contract accounting under IFRS 17.,具有酌情参与分红特征的投资合同，是IFRS 17保险合同会计中的专业表达。,The accountants' report presents the basis used for investment contract with discretionary participation features.,会计师报告列示了具有酌情参与分红特征的投资合同所采用的依据。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 294; IFRS 17,IFRS/HKFRS standards term library,IFRS 17,Insurance,1 - Very low / niche,Financial reporting
